,HLA-DRB5,LTA,HLA-DOA,HLA-DOB,CD80,CD86,CD28,TNF,ICA1,IFNG,PTPRN2,HLA-C,HLA-B,IL1B,HLA-DMB,PTPRN,HLA-F,HLA-E,HLA-A,IL2,HLA-DPA1,IL12B,HLA-DPB1,GAD1,HLA-DQA1,HLA-G,HLA-DQA2,IL12A,CPE,HLA-DQB1,GAD2,IL1A,HSPD1,PRF1,FAS,FASLG,GZMB,HLA-DRB1,HLA-DRA
CAL-120,-0.9288026821617223,-0.7915609877654909,-0.7261123540613651,-0.9160101860392476,-0.8982653412963221,-0.8553655956743708,-0.9167600038169824,-0.7960448465884994,-0.3334984859996224,-0.9384311328786108,-0.9701094371874038,-0.32738279187231545,1.4718000078563611,-0.7667418437688517,-0.6592894134390843,-0.7220398939419289,-0.7246222463501474,1.6662306562366378,0.022249505928719063,-0.8325284552747504,-0.7186160878578132,-0.9016793329365927,-0.7833913662810502,-0.2084031630456833,-0.8863917062154072,-0.7469987365884971,-0.7695623213158388,-0.08153295019275793,-0.3830175594802401,-0.8693882359352185,-0.8167172515848038,-0.7563965824489567,-0.04764284946269805,-0.8180699293320777,-0.5246797646360796,-0.7690653680845188,-0.8330414430709256,-0.3030394486922637,-0.8666002091958132
ETK-1,-0.984755118746058,-0.6853473027404665,-0.7524780429829733,-0.1944405511326988,-0.8761366609199763,-0.8817000028446873,-0.9154365181906452,-0.7023522070818511,0.8052380694272189,-0.9837970341197656,-0.8996463489003174,0.5268833364167584,3.092813204690498,-0.44400653152937497,-0.4461569257670246,-0.6781082671721458,-0.336049681595447,1.8158605714532137,0.3031251540737468,-0.8460986287620105,0.2588926877110535,-0.8573297545789439,-0.6055782433258069,-0.1606068816966689,-0.8896495014976784,-0.7411825881536964,-0.7726143151305724,0.15664251132684048,-0.07738300639365939,-0.7567333700784573,-0.9008315828623716,-0.14434221209686196,-0.3002796040600496,-0.7940433786432742,-0.03592734674282037,-0.8078389654378344,-0.8971830950189172,-0.41606518151593214,-0.8543092736769233
H2731,-0.9400371247739108,-0.6975546515910014,-0.8202575197624979,-0.883869374469807,-0.8880484823370639,-0.8332402600489207,-0.8732299434677948,-0.7348817399151673,-0.3547443816843288,-0.8530032840643409,-0.7854541386760063,0.003758925780242978,3.0807866725043165,-0.2878233522389346,-0.5796407278559721,-0.7240029416974585,-0.6003709108539329,1.910989518762752,0.5558452216491655,-0.9752822864923756,-0.6561572966141964,-0.9279538964953254,-0.7663550608436814,-0.4721087154318123,-0.6927626578906396,-0.7331953302539869,-0.7799211710705529,-0.5284743872307905,-0.7660314285355638,-0.7591457122466052,-0.8824989897035109,-0.438312009638996,-0.015492098391005784,-0.8276808610127707,-0.4096944225314991,-0.8579564927728721,-0.9073150353385636,-0.3716717343123031,-0.7333644453750829
NCI-H441,-0.8968224660415617,-0.7728842899415341,-0.7531394151779213,-0.7537541549331402,-0.9015476044702893,-0.8775238543210631,-0.9310592189427862,-0.8085461427863829,0.6823651320118048,-0.8908968422490614,-0.8696529509398362,0.05926129975335225,2.5042881292078056,-0.7646009139374927,-0.4442559378080494,-0.7844171731175223,-0.3907380861263018,1.1313871195966498,0.8231308987268295,-0.925478456990338,-0.6148468622559222,-0.875359959640365,-0.7819368358539357,-0.10657475554195253,-0.8584490234063792,-0.6724568419041905,-0.8340892319172492,-0.5963809701481404,1.1958877888468522,-0.8172150130650189,-0.8774440773470842,-0.7943196139271639,-0.14525548905350316,-0.8154232363437225,0.7524574105686171,-0.7420997217825994,-0.8522984828485193,-0.3504907045571886,-0.7687515060473901
NCI-H358,-0.9579368498027392,-0.8084453978281269,-0.7448174949893543,-0.935024358000362,-0.8747876671812922,-0.8356311058069342,-0.9067366781388084,-0.6749680092768712,0.8052453227906994,-0.9371565484798238,-0.9331918021365808,0.937921902913768,3.1601118187867816,-0.6298209136740572,-0.5528645269631969,-0.7466383781706433,-0.053204838904988366,1.6422822363713128,1.18942208728552,-0.8875163181710315,-0.7024505022243912,-0.8777040039472971,-0.7939284246922921,-0.04184800946501383,-0.8881890639704929,-0.6582695957780818,-0.7900121129767509,-0.6859959172081962,1.880398935685851,-0.6033051918070031,-0.9252258501803119,-0.056727290708314976,-0.19133139134436508,-0.8517867449580309,-0.0296815452815639,-0.8142940456882736,-0.8554224100212305,-0.29855361565371225,-0.7504576833492028
LS-411N,-1.001654378960626,-0.624053650199915,-0.7034698719116148,-0.9271946007318421,-0.8967389080618622,-0.8769623941078213,-0.9026156835493134,-0.8362563767125443,1.4732712396157073,-0.8374039044286853,-0.6442008617501896,0.8488076709933416,1.5291994515319218,-0.8219408472839309,-0.5340121456893316,-0.7495637724749741,-0.6640877005202094,1.030204382531113,0.15123203926929232,-0.7456833482903453,-0.675947476283666,-0.8591932803068673,-0.7508256237707306,0.002328444111673949,-0.8548406751021973,-0.7648353901978121,-0.7708360108352759,-0.6856742131265217,-0.9221184662261692,-0.6964791106037422,-0.8866069477574633,-0.745113220680799,0.08028807039204354,-0.7719212835167603,-0.3180782679878193,-0.7780440416915976,-0.7896625594863123,-0.3545671715888125,-0.9398953528320176
NCI-H2452,-0.9235996250579944,-0.6678605540971626,-0.6932223512252182,-0.8302953562405029,-0.8545635636919267,-0.8250112721767037,-0.9378629301048136,-0.8109661678998319,-0.330755716198959,-0.9869534474667959,-0.8982027786422763,0.9989729247201063,3.632629269411714,-0.2810064758570126,-0.6834287636121772,-0.8106959674925039,-0.10896989247043172,1.9479215480554728,0.8662911547481317,-0.9435695933304284,-0.6541186729486208,-0.7573761859179963,-0.7530530931956376,-0.6591997210301488,-0.8703745846653167,-0.5599311878940524,-0.7854294152968134,-0.58545163868569,0.12182950950784133,-0.8630561963519834,-0.908867950897174,-0.045471611153702636,-0.18484457689425807,-0.7437678847011877,0.33722080582561537,-0.8287345335484131,-0.8395662506334415,-0.2198996546808584,-0.8143271711138356
UACC-257,-0.9664580248937836,-0.6852086996832171,-0.7701024778010186,-0.8834764264891156,-0.8641944288316667,-0.8937067634924911,-0.9778814819297859,-0.8561805916353357,0.16746368721982813,-0.840572119387834,-0.8754303338175846,1.397689602519384,1.4796153845783888,-0.8333947097096436,-0.09405933392250213,-0.7231667318822704,-0.32042855483586885,1.8229674310805108,0.36660768406336935,-0.9048452869746796,1.5364023315817334,-0.9387165585249037,-0.2418211248411975,-0.5486714482367274,-0.76770636684338,-0.7637069783206832,-0.8224992124889512,-0.6856836900631109,-1.003678458920467,-0.7580962666589979,-0.8628217824069528,-0.8007436058822442,-0.20178287061991326,-0.7797293300643546,0.05929285440581431,-0.7676702833405166,-0.7200578926583001,-0.21507718968099265,-0.8939311604825204
H2369,-0.7117642775368491,-0.747472283402761,-0.7754905530920213,-0.8238784540909659,-0.8536684487728841,-0.8842105670911418,-0.9794258167950762,-0.6524406428128969,-0.7598946432724836,-1.0660522139885558,-0.5857841809329837,2.4253223094568392,3.7020754528040736,1.091827244419604,-0.6257098877742256,-0.6505984850414889,0.8991133269253562,2.458007744291121,1.1297611028180186,-0.8024722026181833,0.14937128887264814,-0.9042344027602724,-0.4256022144562254,-0.2966214581014266,-0.9228917328659338,-0.5521508163443054,-0.7831925952817068,-0.3651994012356078,2.0193044208574102,-0.8610134863280102,-0.8662284408808654,1.6485547614405516,-0.16799607540258046,-0.7431360618773069,0.8051239310883628,-0.7659644343140297,-0.8058399946833467,-0.002064522264934839,-0.6501375324266279
H2804,-0.7861038816953004,-0.7464217583345342,-0.7587381633767756,-0.8435228065126127,-0.8634309479039259,-0.8096855239902163,-0.9223518247640698,-0.7569817100754294,-0.14502557514565775,-0.9713634414235044,-0.6950068309700981,1.1223790833170653,3.381305764828654,-0.123940785007638,-0.6224152429645899,-0.7034969739258002,0.3960139448573092,1.7287426447658765,0.9490681775405716,-0.9602708147015444,-0.5602730352533954,-0.8561430510332572,-0.8040031683478739,-0.8528781648503976,-0.8481626154328561,-0.6416093161459908,-0.7694478806231558,-0.4016676051951532,-0.5463471813778127,-0.7296121172127078,-0.8297554852285958,-0.5515638625418117,-0.13990552202825465,-0.8162127837337685,0.05343690489803704,-0.8278561081743758,-0.8313578581285316,-0.2953946178015958,-0.7757101537779334
